TIME,BEAUFORT,VELOCITY,MAX WAVE HEIGHT,SEA STATE
2021-05-23 01:00,6,44954,6,lg waves - foam - spray
2021-05-23 02:00,6,39150,6,lg waves - foam - spray
2021-05-23 03:00,6,40012.2,6,lg waves - foam - spray
2021-05-23 04:00,6,42926.1,6,lg waves - foam - spray
2021-05-23 05:00,6,44441.4,6,lg waves - foam - spray
2021-05-23 06:00,7,50239.4,6,very rough / sea heads up streaked foam
2021-05-23 07:00,7,55472.3,6,very rough / sea heads up streaked foam
2021-05-23 08:00,7,50793.7,6,very rough / sea heads up streaked foam
2021-05-23 09:00,7,55376.2,6,very rough / sea heads up streaked foam
2021-05-23 10:00,7,58866.2,6,very rough / sea heads up streaked foam
2021-05-23 11:00,8,64529.2,9,higher long waves foam in streaks
2021-05-23 12:00,8,65954.8,9,higher long waves foam in streaks
2021-05-23 13:00,8,64738.6,9,higher long waves foam in streaks
2021-05-23 14:00,8,61697.4,9,higher long waves foam in streaks
2021-05-23 15:00,8,66810,9,higher long waves foam in streaks
2021-05-23 16:00,8,62342.4,9,higher long waves foam in streaks
2021-05-23 17:00,6,48577.5,6,lg waves - foam - spray
2021-05-23 18:00,7,50842.6,6,very rough / sea heads up streaked foam
2021-05-23 19:00,6,44804.2,6,lg waves - foam - spray
2021-05-23 20:00,5,37785.1,4,rough / moderate waves & foam
2021-05-23 21:00,5,31153.3,4,rough / moderate waves & foam
2021-05-23 22:00,5,29726.1,4,rough / moderate waves & foam
